# Network Metadata
Name: mynet
NodesetFile: mynet_nodesetfile.tsv

# Layer
# The section for a layer must start with "LayerMode:"
# The order of the other are not crucial. Both Directionality and ValueType must be there.
LayerMode: 1
LayerName: kinship
Directionality: undirected
ValueType: binary
Selfties: false
123	345
345	456	567
456	567
234	345	678	789	890
789	890

# Layer
LayerMode: 1
LayerName: trade
Directionality: directed
ValueType: valued
Selfties: false
123	345;23
345	123;45	456;15	234;1
456	567;23.45
678	234;230
789	234;65321
890	234;12345	789;12345678

# Layer
LayerMode: 2
LayerName: work
ias	123	456	567	789
iei	234	456	678
ica	345	678	789	567
coop
